sample_id,run_id,group,severity,bad_name,ground_truth,equiv_step_entropy,equiv_step_gt_prob,equiv_step_confidence,probe_entropy,probe_gt_prob,probe_confidence
54,9,smell,moderate,foo,observer,0,0,1,0.29031041264533997,1.487142782252704e-07,0.9225497245788574
54,9,smell,mild,temp1,observer,0,0,1,0.2248108685016632,1.4031690476201675e-08,0.9378317594528198
54,9,control,none,,observer,1,0,0,0.4901246428489685,4.968165399077407e-07,0.8166497349739075
63,9,smell,severe,x,responseDuration,2,0,2,0.713585376739502,7.381188282806761e-08,0.7564128041267395
63,9,smell,moderate,bar,responseDuration,2,0,2,0.4427602291107178,1.1029504776161048e-07,0.9082108736038208
63,9,smell,mild,temp1,responseDuration,2,0,2,0.39198625087738037,1.226760464323462e-07,0.8852505087852478
63,9,control,none,,responseDuration,2,0,1,0.7165851593017578,2.2743787267742732e-05,0.7165631055831909
64,9,smell,severe,a,tokenStream,2,0,2,0.3923172950744629,2.2749350137019064e-06,0.930824875831604
64,9,smell,moderate,foo,tokenStream,0,0,0,0.13811825215816498,1.7722397771535725e-08,0.9722676873207092
64,9,smell,mild,temp1,tokenStream,0,0,0,0.14514410495758057,5.475956186273834e-07,0.9685587882995605
64,9,control,none,,tokenStream,0,0,0,0.19387198984622955,2.508922776478517e-08,0.9396980404853821
65,9,smell,severe,xx,transformState,0,0,0,0.9573302268981934,3.565662609616993e-07,0.7764711976051331
65,9,smell,moderate,bar,transformState,0,0,0,0.5895825624465942,1.1625986928720522e-07,0.85533207654953
65,9,smell,mild,value1,transformState,0,0,0,0.3973107933998108,4.845787199059259e-06,0.9027918577194214
65,9,control,none,,transformState,0,0,0,0.2771964967250824,3.4136582627297685e-07,0.9044498801231384
67,9,smell,severe,x,screenX,0,0,0,0.44098931550979614,5.820338344619813e-08,0.9365312457084656
67,9,smell,moderate,tmp,screenX,0,0,0,0.3176549971103668,1.401665826961107e-06,0.9529797434806824
